Trial ID,Validation Accuracy,Learning Rate,Num Layers,Units Input
0017,0.574999988079071,0.0007990807100363312,1,288
0025,0.5687500238418579,0.0008492103267621688,1,288
0010,0.5625,0.003081373838058736,2,192
0029,0.5625,0.0012483495058990695,1,416
0012,0.5562499761581421,0.003081373838058736,2,192
0013,0.5562499761581421,0.0007990807100363312,1,288
0020,0.5562499761581421,0.00985793043338185,3,256
0022,0.543749988079071,0.0008492103267621688,1,288
0008,0.5375000238418579,0.0007990807100363312,1,288
0016,0.5375000238418579,0.003081373838058736,2,192
